experiment_group,problem,metric,direction,reference_variant,comparison_variant,n_ref,n_cmp,n_pairs,n_nonzero_differences,n_nan_ref,n_nan_cmp,n_inf_ref,n_inf_cmp,n_unique_ref,n_unique_cmp,test_name,paired,test_executed,holm_included,p_value_raw,p_value_holm,effect_size_name,effect_size,effect_direction,status,reason_class,report_status,interpretation,formal_experiment_source_snapshot_sha256,postprocessing_source_snapshot_sha256
A5,WFG9,igd,lower,MOSADE,MOSADE_domselect,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,1.9278377294540405e-07,1.9278377294540405e-07,cliffs_delta_comparison_minus_reference,0.8439125910509886,reference_better,test_ok,none,usable_statistical,Significant after Holm; reference variant is better for this metric.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,WFG9,igd_plus,lower,MOSADE,MOSADE_domselect,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,9.313225746154785e-10,9.313225746154785e-10,cliffs_delta_comparison_minus_reference,1.0,reference_better,test_ok,none,usable_statistical,Significant after Holm; reference variant is better for this metric.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,WFG9,gd,lower,MOSADE,MOSADE_domselect,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,1.862645149230957e-09,1.862645149230957e-09,cliffs_delta_comparison_minus_reference,0.9167533818938606,reference_better,test_ok,none,usable_statistical,Significant after Holm; reference variant is better for this metric.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,WFG9,spread,lower,MOSADE,MOSADE_domselect,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,1.0,1.0,cliffs_delta_comparison_minus_reference,0.005202913631633715,reference_better,test_ok,none,usable_descriptive,No Holm-significant difference; use descriptive wording only.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,WFG9,time_s,lower,MOSADE,MOSADE_domselect,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,9.313225746154785e-10,9.313225746154785e-10,cliffs_delta_comparison_minus_reference,1.0,reference_better,test_ok,none,usable_statistical,Significant after Holm; reference variant is better for this metric.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,ZDT1,hv,higher,MOSADE,MOSADE_domselect,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,3.073364496231079e-08,3.073364496231079e-08,cliffs_delta_comparison_minus_reference,-0.9292403746097815,reference_better,test_ok,none,usable_statistical,Significant after Holm; reference variant is better for this metric.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,ZDT1,igd,lower,MOSADE,MOSADE_domselect,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,1.7695128917694092e-08,1.7695128917694092e-08,cliffs_delta_comparison_minus_reference,0.8834547346514048,reference_better,test_ok,none,usable_statistical,Significant after Holm; reference variant is better for this metric.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,ZDT1,igd_plus,lower,MOSADE,MOSADE_domselect,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,2.7939677238464355e-09,2.7939677238464355e-09,cliffs_delta_comparison_minus_reference,0.9812695109261186,reference_better,test_ok,none,usable_statistical,Significant after Holm; reference variant is better for this metric.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,ZDT1,gd,lower,MOSADE,MOSADE_domselect,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.444234280847013,0.444234280847013,cliffs_delta_comparison_minus_reference,-0.007284079084287201,comparison_better,test_ok,none,usable_descriptive,No Holm-significant difference; use descriptive wording only.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,ZDT1,spread,lower,MOSADE,MOSADE_domselect,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.26389263197779655,0.26389263197779655,cliffs_delta_comparison_minus_reference,0.4380853277835588,reference_better,test_ok,none,usable_descriptive,No Holm-significant difference; use descriptive wording only.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,ZDT1,time_s,lower,MOSADE,MOSADE_domselect,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,9.313225746154785e-10,9.313225746154785e-10,cliffs_delta_comparison_minus_reference,1.0,reference_better,test_ok,none,usable_statistical,Significant after Holm; reference variant is better for this metric.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,ZDT3,hv,higher,MOSADE,MOSADE_domselect,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.5814498504623771,0.5814498504623771,cliffs_delta_comparison_minus_reference,-0.10926118626430802,reference_better,test_ok,none,usable_descriptive,No Holm-significant difference; use descriptive wording only.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,ZDT3,igd,lower,MOSADE,MOSADE_domselect,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,4.6193599700927734e-06,4.6193599700927734e-06,cliffs_delta_comparison_minus_reference,0.704474505723205,reference_better,test_ok,none,usable_statistical,Significant after Holm; reference variant is better for this metric.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,ZDT3,igd_plus,lower,MOSADE,MOSADE_domselect,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,5.317851901054382e-06,5.317851901054382e-06,cliffs_delta_comparison_minus_reference,0.6649323621227887,reference_better,test_ok,none,usable_statistical,Significant after Holm; reference variant is better for this metric.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,ZDT3,gd,lower,MOSADE,MOSADE_domselect,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.00413934513926506,0.00413934513926506,cliffs_delta_comparison_minus_reference,-0.3028095733610822,comparison_better,test_ok,none,usable_statistical,Significant after Holm; comparison variant is better for this metric.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,ZDT3,spread,lower,MOSADE,MOSADE_domselect,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.9614869365468621,0.9614869365468621,cliffs_delta_comparison_minus_reference,0.1529656607700312,reference_better,test_ok,none,usable_descriptive,No Holm-significant difference; use descriptive wording only.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,ZDT3,time_s,lower,MOSADE,MOSADE_domselect,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,9.313225746154785e-10,9.313225746154785e-10,cliffs_delta_comparison_minus_reference,1.0,reference_better,test_ok,none,usable_statistical,Significant after Holm; reference variant is better for this metric.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
